column_or_row_name,BERVO Combination,BERVO Term,unit,definition,data_type,source_file,berdl_export_status,nonempty_value_count,sample_values,mapping_notes,proposed_bervo_term
"depth, meters","Depth, Context = sample interval",BERVO:8000069,meter,"The vertical distance below local surface. For sediment or soil samples depth is measured from sediment or soil surface, respectively.",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,0 - 0.05,,
size-fraction lower threshold,,,,Refers to the mesh/pore size used to pre-filter/pre-sort the sample. Materials smaller than the size threshold are excluded from the sample,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
size-fraction upper threshold,,,,Mesh or pore size of the device used to retain the sample. Materials larger than the size threshold are excluded from the sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
sample material processing,"Method, Context = sample material processing",BERVO:8000303,,"A brief description of any processing applied to the sample during or after retrieving the sample from environment, or a link to the relevant protocol(s) performed",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
biotic regimen,,,,"Information about treatment(s) involving use of biotic factors, such as bacteria, viruses or fungi",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
sample collection device,"Instrument, Context = sample collection",BERVO:8000306,,The device used to collect an environmental sample. ,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
sample collection method,"Method, Context = sample collection",BERVO:8000303,,The method employed for collecting the sample,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
air temperature regimen,"Temperature, Context = air regimen",BERVO:8000133,,"Information about treatment involving an exposure to varying temperatures; should include the temperature, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include different temperature regimens",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
chemical administration,,,,"List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. ",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
amount or size of sample collected,,,,"The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
climate environment,,,,"Treatment involving an exposure to a particular climate; treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple climates",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
gaseous environment,,,,"Use of conditions with differing gaseous environments; should include the name of gaseous compound, amount administered, treatment duration, interval and total experimental duration; can include multiple gaseous environment regimens",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
humidity regimen,,,,"Information about treatment involving an exposure to varying degree of humidity; information about treatment involving use of growth hormones; should include amount of humidity administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
observed biotic relationship,,,,"Description of relationship(s) between the subject organism and other organism(s) it is associated with. E.g., parasite on species X; mutualist with species Y. The target organism is the subject of the relationship, and the other organism(s) is the object",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
light regimen,,,,"Information about treatment(s) involving exposure to light, including both light intensity and quality",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
watering regimen,,,,"Information about treatment involving an exposure to watering frequencies, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
pH,pH,BERVO:8000261,pH,"pH measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid",numeric,neon_Gs0149986_samples_soilproperties_metagenomes.csv,used_in_berdl_data_table,224,6.29 | 6.11 | 6.27 | 6.51 | 5.84,,
"collection time, GMT","Time, Context = collection",BERVO:8000238,,"collection time, GMT associated with sample.",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
incubation collection date,"Date, Context = incubation collection",BERVO:8000239,,incubation collection date associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
"incubation collection time, GMT","Time, Context = incubation collection",BERVO:8000238,,"incubation collection time, GMT associated with sample.",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
incubation start date,"Date, Context = incubation start",BERVO:8000239,,incubation start date associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
"incubation start time, GMT","Time, Context = incubation start",BERVO:8000238,,"incubation start time, GMT associated with sample.",text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
filter method,,,,filter method associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
experimental factor- other,,,,experimental factor- other associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
non-microbial biomass,"Biomass, Context = non-microbial",BERVO:8000296,,non-microbial biomass associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
non-microbial biomass method,"Method, Context = non-microbial biomass",BERVO:8000303,,Reference or method used in determining non-microbial biomass,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
organic nitrogen method,"Method, Context = organic nitrogen",BERVO:8000303,,Reference or method used in determining organic nitrogen,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
other treatments,,,,other treatments associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
isotope exposure/addition,,,,isotope exposure/addition associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
lime buffer capacity (at 30 minutes),,,,lime buffer capacity (at 30 minutes) associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
lime buffer capacity (after 5 day incubation),,,,lime buffer capacity (after 5 day incubation) associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
manganese,"Element, Context = manganese",BERVO:8000220,,manganese associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
microbial biomass carbon method,"Method, Context = microbial biomass carbon",BERVO:8000303,,Reference or method used in determining microbial biomass carbon,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,chloroform-fumigation extraction method,,
microbial biomass nitrogen method,"Method, Context = microbial biomass nitrogen",BERVO:8000303,,Reference or method used in determining microbial biomass nitrogen,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,array_level_metadata,250,chloroform-fumigation extraction method (10.1016/0038-0717(85)90144-0),,
microbial biomass carbon,"Biomass, Context = microbial, Element = carbon, Environmental material = dry soil",BERVO:8000296,milligram per kilogram,microbial biomass carbon associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,used_in_berdl_data_table,248,214.6 ug C/g dry soil | 245.9 ug C/g dry soil | 136.1 ug C/g dry soil | 186.4 ug C/g dry soil | 269.2 ug C/g dry soil,,
microbial biomass nitrogen,"Biomass, Context = microbial, Element = nitrogen, Environmental material = dry soil",BERVO:8000296,milligram per kilogram,microbial biomass nitrogen associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,used_in_berdl_data_table,248,28.7 ug N/g dry soil | 40.8 ug N/g dry soil | 11.4 ug N/g dry soil | 38.2 ug N/g dry soil | 35.5 ug N/g dry soil,,
zinc,"Element, Context = zinc",BERVO:8000220,,zinc associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
ammonium nitrogen,"Ammonium, Element = nitrogen, Environmental material = dry soil",BERVO:8000113,milligram per kilogram,ammonium nitrogen associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,used_in_berdl_data_table,248,5.68 µg per g | 3.28 µg per g | 8.17 µg per g | 4.04 µg per g | 4.24 µg per g,,
